Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
1294696,2020-06-20 19:10:08,4713464490314802,fraud_Bahringer-Streich,food_dining,47.58,Wesley,Parker,M,7452 Browning Port,Mc Intosh,SD,57641,45.7084,-101.1546,295,"Designer, industrial/product",1981-01-26,670311bf0cd0bd199837d043278e6a85,1371755408,45.874692,-100.682621,0,57642.0
1294697,2020-06-20 19:10:11,3590736522064285,"fraud_Swaniawski, Lowe and Robel",shopping_pos,5.6,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,59843b2772105b18c5595d9513d50905,1371755411,34.937288,-92.41278,0,72106.0
1294698,2020-06-20 19:10:12,4178097073221156,fraud_Schulist Ltd,food_dining,45.9,Jill,Flores,F,639 Cruz Islands,Baroda,MI,49101,41.9488,-86.4913,3104,"Horticulturist, commercial",1981-03-29,6b51e0f551ee00ed171273cc5a2451da,1371755412,41.145757,-86.656816,0,46968.0
1294699,2020-06-20 19:11:30,6573561108825071,fraud_Bednar PLC,kids_pets,95.21,Kristina,Lewis,F,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574,Bookseller,1968-06-18,a85718532751140882a1b2f23e959f42,1371755490,36.097926,-96.542959,0,74038.0
1294700,2020-06-20 19:11:43,3519232971341141,fraud_Stark-Batz,entertainment,27.47,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,e659d1b35563c4a4d5e009b8c8e5c1c4,1371755503,40.212609,-81.336668,0,43973.0
1294701,2020-06-20 19:12:08,4742883543039288059,"fraud_Prosacco, Kreiger and Kovacek",home,36.29,Cassandra,Sanders,F,78117 George Mountains,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1991-04-13,c7671b8bc30aec8b8eaa0c5660123613,1371755528,19.233029,-155.852917,0,
1294702,2020-06-20 19:12:26,4997733566924489,fraud_Friesen-Ortiz,personal_care,25.28,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,5eebee45548da1206b7bfc1b668252f4,1371755546,45.385361,-93.024827,0,55079.0
1294703,2020-06-20 19:12:51,3597337756918966,"fraud_Pouros, Walker and Spencer",kids_pets,85.59,Linda,Gonzalez,F,17667 Price Spur Apt. 366,Glen Rock,PA,17327,39.7813,-76.7477,7565,Insurance claims handler,1952-03-08,fe59b563f69e2557d64fee4cbfadc37e,1371755571,39.413397,-76.32469,0,21085.0
1294704,2020-06-20 19:14:00,4610050989831291,"fraud_Mante, Luettgen and Hackett",health_fitness,77.65,James,Lynch,M,5155 Mary Common Apt. 927,Utica,PA,16362,41.4798,-79.9403,1102,Garment/textile technologist,1989-07-08,f8f403ac119af6ac53d7a591966f5088,1371755640,41.971433000000005,-79.217355,0,14738.0
1294705,2020-06-20 19:14:08,30561214688470,fraud_Hickle Group,shopping_pos,2.43,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1998-10-01,10eebabb29be3f426516e3ae95a41376,1371755648,39.692989,-74.615726,0,8088.0
1294706,2020-06-20 19:15:24,568279015842,fraud_Rippin-VonRueden,health_fitness,75.77,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,58015,46.5522,-96.7909,291,Television floor manager,1991-05-01,f6512fbd79180adfd0556d420bb8e43c,1371755724,46.289673,-97.770124,0,58069.0
1294707,2020-06-20 19:15:28,3590736522064285,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,2.25,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",1975-12-20,4ad31e55838e79d050dbbd7bd9191d64,1371755728,33.998625,-93.343746,0,71962.0
1294708,2020-06-20 19:18:46,4855488158131690372,fraud_Daugherty-Thompson,food_dining,58.0,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,67f47850ca8396fb46108aed0a5fb996,1371755926,44.172875,-72.61680799999999,0,5663.0
1294709,2020-06-20 19:18:50,346273234529002,fraud_Gleason and Sons,kids_pets,53.16,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,60f8a8b0e9a6448a9790a11726013d83,1371755930,37.410675,-79.808502,0,24064.0
1294710,2020-06-20 19:19:09,373905417449658,"fraud_Cole, Hills and Jewess",home,85.05,Sarah,Bishop,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,1970-11-12,2f0e2f69e35a48e274d346379ef5c9d4,1371755949,32.35378,-97.073257,0,76084.0
1294711,2020-06-20 19:19:47,4312133045694601139,fraud_Torp-Lemke,misc_pos,173.41,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,1977-06-12,fa9b20db3e6a813d8f25871dd5e958fe,1371755987,38.684357,-77.53885799999999,0,20181.0
1294712,2020-06-20 19:20:23,4277232699798846,"fraud_Haley, Batz and Auer",health_fitness,41.16,Jennifer,Vance,F,13299 Patrick Terrace,Rhame,ND,58651,46.1664,-103.7079,475,Illustrator,1955-11-10,13d548af48ad346bda45cff312731c82,1371756023,46.701573,-103.638847,0,
1294713,2020-06-20 19:20:42,347073228412010,"fraud_Ritchie, Bradtke and Stiedemann",travel,444.29,Ryan,Johnson,M,40178 Lisa Mission,Alva,WY,82711,44.6873,-104.4414,110,"Administrator, local government",1973-05-16,6475d77100f740e7857f420890d98694,1371756042,44.346982,-103.927434,0,
1294714,2020-06-20 19:21:26,3596217206093829,fraud_Fisher Inc,shopping_net,2090.14,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,1988-03-25,cc02b74a8f15809cabf60616cd5eae5a,1371756086,40.282456,-91.566151,0,63430.0
1294715,2020-06-20 19:22:17,4301028321766222513,fraud_Klein Group,entertainment,79.69,Joe,Howard,M,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary/administrator,1978-10-26,799eb2ba2c4e71f2989bf90278808793,1371756137,40.793721000000005,-81.336215,0,44704.0
1294716,2020-06-20 19:22:18,3553629419254918,fraud_Stark-Koss,home,8.52,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,31dd99e7de504b5d8f11661a22a2949f,1371756138,49.131456,-121.376268,0,
1294717,2020-06-20 19:22:51,4997733566924489,"fraud_Schneider, Hayes and Nikolaus",food_dining,34.23,Stephanie,Taylor,F,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1971-08-06,c0284f610a20266272f3a19659a82d85,1371756171,44.638658,-93.218458,0,55044.0
1294718,2020-06-20 19:22:54,213157767990030,fraud_Dibbert and Sons,entertainment,60.79,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,1984-08-01,84f83fcc09e2a5ce84e61a2726e41b0e,1371756174,40.654956,-108.319836,0,
1294719,2020-06-20 19:22:57,4464457352619,fraud_Schmidt and Sons,shopping_net,7.85,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,c2a9babd658cb6922b2b284a4ba9f75d,1371756177,30.632565000000003,-84.33461899999999,0,32333.0
1294720,2020-06-20 19:22:59,3533800906065217,fraud_Rau-Grant,kids_pets,58.57,Amber,Thornton,F,840 Werner Lock Apt. 852,Campbell,NE,68932,40.2967,-98.737,493,"Surveyor, minerals",1940-09-13,09bf53e26cf5aa574729c1f2a3e77853,1371756179,39.965206,-97.861094,0,66964.0
1294721,2020-06-20 19:23:03,3511378610369890,fraud_Boyer PLC,misc_pos,16.46,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1973-04-01,d6fc5c7a29c7961d5ebfd4bc47b65f75,1371756183,34.730406,-87.256419,0,35618.0
1294722,2020-06-20 19:24:27,6506116513503136,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,56.32,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,b1a635660a239de27f93a21786aa44e9,1371756267,31.337414000000003,-96.148057,0,75846.0
1294723,2020-06-20 19:24:58,349612764943496,fraud_Ebert-Daugherty,travel,540.62,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",1984-06-04,734dc63c38b4d388a955cfaa31a19477,1371756298,37.955394,-82.98079,0,41226.0
1294724,2020-06-20 19:25:17,3527536963490470,"fraud_Bins, Balistreri and Beatty",shopping_pos,10.02,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,1974-12-05,b8cc45bccf37674273fe69c24094d65d,1371756317,33.651892,-81.443777,0,29164.0
1294725,2020-06-20 19:25:27,30238755902988,"fraud_Cronin, Kshlerin and Weber",health_fitness,5.02,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,ffd7cf6cfd669a7130b907d46a6057ba,1371756327,30.368789000000003,-97.66058,0,78753.0
1294726,2020-06-20 19:25:32,4181833256558613886,fraud_Kilback LLC,food_dining,7.27,Jessica,Potter,F,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1988-09-06,3ba0592c7f0781bb0a06c73417af44f3,1371756332,36.913216,-104.93286100000002,0,
1294727,2020-06-20 19:26:12,4189814094741,fraud_Hammes-Beatty,kids_pets,26.06,Jason,Farmer,M,33165 Larry Walks Suite 960,Ragland,AL,35131,33.7367,-86.1619,4159,Educational psychologist,1998-02-03,60d3450c4f8dfb05a14adae6aeba0eed,1371756372,33.577971000000005,-86.652057,0,35210.0
1294728,2020-06-20 19:26:39,4956828990005111019,fraud_Kulas Group,health_fitness,25.68,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,8dab230dc6cc052bc61e3d9def294f94,1371756399,39.769765,-74.328678,0,8005.0
1294729,2020-06-20 19:27:39,5456712664803820,fraud_Howe PLC,entertainment,39.88,Pamela,Matthews,F,36659 Smith Club Apt. 080,Llano,NM,87543,36.1486,-105.6648,247,Architectural technologist,1961-10-24,27264c1a73f2eddff45a32d5045818da,1371756459,36.411673,-105.06771100000002,0,
1294730,2020-06-20 19:28:17,4855488158131690372,fraud_Labadie LLC,personal_care,77.89,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,132b52994cd55a14637b101713c4a542,1371756497,43.165852,-72.581609,0,5146.0
1294731,2020-06-20 19:28:23,630423337322,fraud_Dare-Marvin,entertainment,19.45,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21,adb136e2a56389e49f1e15373d1ddf50,1371756503,48.512734,-117.788756,0,
1294732,2020-06-20 19:28:50,30234966027947,fraud_Auer LLC,personal_care,2.35,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,29c3eab73275a74d1427a2908ef2fc21,1371756530,43.613105,-88.793453,0,53963.0
1294733,2020-06-20 19:29:38,4474324669797121,fraud_Zboncak Ltd,food_dining,57.52,Matthew,Russell,M,168 Michael Coves Suite 343,June Lake,CA,93529,37.7773,-119.0825,633,Health service manager,1927-09-09,3164853d1a57dd597a9048d233d27346,1371756578,38.718152,-119.532189,0,89410.0
1294734,2020-06-20 19:30:03,180042946491150,fraud_Beier LLC,entertainment,13.02,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,67e52329dec952cae09b5d59bf5c08d6,1371756603,27.701774,-83.281384,0,
1294735,2020-06-20 19:30:54,4939976756738216,fraud_Champlin-Casper,home,3.89,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,5f8cec2c26eaa1183ef7665bf9565841,1371756654,25.563226,-98.587704,0,
1294736,2020-06-20 19:31:01,573283817795,fraud_Conroy-Emard,food_dining,34.21,Amy,Flynn,F,46095 Tara Fords,Jaffrey,NH,3452,42.8178,-72.0275,5457,"Surveyor, hydrographic",1950-04-17,a20907d18fe043cb3e063e86e3547b9a,1371756661,42.968548,-71.839607,0,3047.0
1294737,2020-06-20 19:31:08,4025612008285111,fraud_Lubowitz-Walter,kids_pets,274.37,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,1949-03-20,974ff5e4a0982ab130f44c5774807a19,1371756668,40.332853,-78.536505,0,16637.0
1294738,2020-06-20 19:31:45,4328928491302401,fraud_Kub PLC,personal_care,78.24,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,d1e30f141d3082aa3ae7a6d65eaeb7c0,1371756705,42.271248,-88.31303100000001,0,60012.0
1294739,2020-06-20 19:32:23,343472729187663,fraud_Gislason Group,misc_pos,8.92,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",1971-08-05,086ec4a1180c2ca19d6c590106dd32d2,1371756743,44.242788,-71.858076,0,3585.0
1294740,2020-06-20 19:32:52,371226440126102,fraud_Effertz LLC,entertainment,30.3,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,b925eb3f53cdf2f7ce65965539b33da3,1371756772,39.684921,-89.450556,0,62531.0
1294741,2020-06-20 19:34:47,4681601008538160,fraud_Wuckert-Goldner,home,55.82,Tammy,Davis,F,77663 Colleen Freeway,Moundsville,WV,26041,39.9148,-80.73100000000001,16183,Physiotherapist,1977-08-12,e9e9995be23f0903c2a3a32d386f0b67,1371756887,40.677753,-81.259153,0,44688.0
1294742,2020-06-20 19:35:05,378904938837132,fraud_Reilly LLC,home,12.1,Tina,Zimmerman,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1986-05-01,ec5596cbc7a2018e9a7fc2842f3a1d6d,1371756905,35.855816,-99.093752,0,73659.0
1294743,2020-06-20 19:35:19,630469040731,fraud_Gulgowski LLC,home,7.8,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,6f4f4eb5c6b6d2b9f31cf5f998c3138b,1371756919,45.264165000000006,-122.294288,0,97022.0
1294744,2020-06-20 19:35:22,4393520897625,"fraud_Windler, Goodwin and Kovacek",home,73.64,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,1982-05-20,b9549e6e158a5a55947acf2a6b20e9b7,1371756922,39.575869,-95.265907,0,66041.0
1294745,2020-06-20 19:35:24,180094419304907,"fraud_Mante, Luettgen and Hackett",health_fitness,86.54,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,2c14e6ecda4320f2302b46e9c192816f,1371756924,33.811236,-116.405546,0,92270.0
1294746,2020-06-20 19:36:34,213102873001603,"fraud_Denesik, Powlowski and Pouros",home,66.98,Joanne,Padilla,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01,004c790e83c8657e6478f845a1750844,1371756994,44.621764,-125.135753,0,
1294747,2020-06-20 19:36:50,5104807169438134,fraud_Effertz LLC,entertainment,39.4,Regina,Johnston,F,641 Steven Mall Apt. 299,Westhampton Beach,NY,11978,40.8295,-72.6473,3255,Financial trader,1978-07-08,955bf5b6f092a3cd270e2ece21a0d17b,1371757010,39.923043,-71.820201,0,
1294748,2020-06-20 19:37:06,30082025922891,fraud_Collier LLC,home,168.7,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,"Pilot, airline",1934-06-23,ae499b6d9a8bbcb0156d9072e97721cf,1371757026,25.44765,-80.746298,0,
1294749,2020-06-20 19:37:08,4646845581490336108,fraud_Nader-Maggio,personal_care,103.3,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25,4f803406b596333076f42706d0e3fa07,1371757028,40.484393,-73.77003,0,11692.0
1294750,2020-06-20 19:37:45,6011399591920186,fraud_Pouros-Conroy,shopping_pos,6.84,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,348c88a63786d22d3ab8e1766e11df9a,1371757065,41.792337,-72.536486,0,6042.0
1294751,2020-06-20 19:38:07,2283743876903625,fraud_Kautzer and Sons,personal_care,95.39,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1997-12-27,5a5225d966588d076523c2c9528d5639,1371757087,33.823467,-84.066115,0,30039.0
1294752,2020-06-20 19:38:13,30181367542315,fraud_Brown Inc,kids_pets,27.26,Danielle,Walker,F,9824 Mitchell Run,Powell Butte,OR,97753,44.2415,-121.0113,2016,Local government officer,1953-12-25,a08b14c5a396347c010bb124d7f9b4ae,1371757093,44.265333,-121.622351,0,
1294753,2020-06-20 19:38:59,2712209726293386,"fraud_Nienow, Barrows and Romaguera",personal_care,14.39,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,bf13baf6f7524807b4938c102f5cc9d1,1371757139,29.990266,-91.340321,0,70339.0
1294754,2020-06-20 19:39:03,2285066385084291,fraud_Kertzmann LLC,health_fitness,182.48,Richard,Brown,M,17819 Jose Mount Suite 657,Heidelberg,MS,39439,31.882,-88.9981,4573,"Exhibitions officer, museum/gallery",1988-02-15,0292796093fe7bf9f352956f46009d3d,1371757143,31.560583,-89.71135500000001,0,39427.0
1294755,2020-06-20 19:39:26,2283743876903625,fraud_Auer LLC,personal_care,2.82,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1997-12-27,96dafc3c07746f3755db71906df1254c,1371757166,34.369569,-85.28116800000001,0,30730.0
1294756,2020-06-20 19:39:26,3586955669388457,"fraud_Cole, Hills and Jewess",home,77.61,Benjamin,Rogers,M,24191 Elizabeth Mill,Bolivar,PA,15923,40.3673,-79.1605,1770,"Administrator, local government",1994-12-08,ca2092f636c6f4bfec8b681630d8ed59,1371757166,41.018477,-79.901669,0,16061.0
1294757,2020-06-20 19:39:33,4587657402165341815,fraud_Auer-West,shopping_net,11.95,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",2004-05-08,fe4220f60491c12689e40e4983f7931f,1371757173,42.021125,-86.819678,0,
1294758,2020-06-20 19:39:33,4342532437704183,fraud_Denesik and Sons,shopping_pos,1.65,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16,504ab2815d7686864d981bf7273a8d57,1371757173,42.093611,-75.187558,0,13856.0
1294759,2020-06-20 19:40:51,3552581383553463,fraud_Bogisich-Weimann,kids_pets,42.0,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,edb5af654f7a19feca1a4a6588e0a89f,1371757251,34.247382,-82.92769,0,30634.0
1294760,2020-06-20 19:40:59,213178765398315,fraud_Lemke-Gutmann,shopping_net,2.31,Alan,Colon,M,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,bb9d75062740bc5f10adb3b9f682dd70,1371757259,43.323975,-108.66898700000002,0,82523.0
